"","S1103","S1104","S1105","S1107","S1112","S1113","S1117","S1118","S1119","S1121","S1124","S1125","S1129","S1135","S1137","S1139","S1143","S1144","S1145","S1147","S1182","S1187","S1192","S1196","S1197","S1198","S1201","S1202","S1206","S1207","S1210","S1216","S1218","S1219","S1220","S1230","S1231","S1236","S1238","S1275","S1282","S2051","S2055","S2057","S2061","S2068","S2072","S2076","S2125","S2127","S2130","S2131","S2134","S2135","S2137","S2140","S2141","S2144","S3098","S3101","S3102","S3103","S3117","S3128","S3130","S3145","S3151","S3195","S3200","S3204","S3205","S3207","S3209","S3210","S3211","S3218","S3239","S3240","S3312","S3325","S4070","S4073","S4082","S4089","S4112","S4113","S4114","S4116","S5002","S5003","S5008","S5021","S5030","S5044","S5049","S5053","S5069","S5070","S5214","S5215"
"Acinetobacter",68,70,709,3528,395,212,1548,75,1745,2467,12,1560,0,151,679,150,113,71,250,205,319,0,0,3560,208714,121,25,2169,246,162,28,191,1071,782,0,57,19,36,4,24,250,30,158,210,31,77,26,4283,63,0,5,40,59,233,51,69,2061,4784,77,0,22,44,21,15,112,2983,64,3196,51,367,0,35,249,0,195,18,2533,39,16,10210,79,61,54111,54,132,91,36,388,50,53,0,1087,23,1544,55,59,120,102,0,113
"Corynebacterium",4472,1941,69,0,10365,3,7319,33673,4485,237,23,1141,5794,9754,2717,540,263,14504,474,16978,7775,0,164,15892,30743,372,763,3654,11728,1914,1905,18162,48,187,3392,6359,5436,4919,14,13388,12,300,5567,2424,2959,1761,31,696,3239,9,2432,22,10029,30356,408,1654,1089,2525,5312,190,704,144,11200,2997,33633,1843,2932,2159,503,91793,391,3466,1759,3905,500,1279,6196,1296,1366,3203,960,3214,20852,1650,4422,13738,5879,65049,1176,373,4932,604,4830,567,464,1730,86,1515,8924,4415
"Dolosigranulum",0,16239,0,0,7286,0,0,0,1351,0,0,0,4586,19104,0,208,3857,9691,171,0,1,0,0,0,0,0,729,0,0,0,0,16677,0,0,0,5122,4443,13140,44,0,0,0,0,1478,211,817,0,4816,0,32,0,0,0,0,0,7490,8086,0,3983,495,0,0,2935,0,1268,335,29,1660,1345,652,62,13980,0,129,14,1118,9044,538,0,5865,0,3362,11689,790,214,0,0,0,0,1977,0,962,0,97,0,121,0,841,2207,0
"Enterobacter",3021,0,0,0,8,4,0,0,20946,0,0,423,0,0,29485,73,0,0,0,0,2,0,865,60,0,0,0,37,0,1248,0,0,0,0,0,506,0,35,0,0,0,110,0,702,0,3302,0,0,28895,0,0,51,25778,0,0,0,72,0,0,0,7,0,599,0,806,106,0,3131,13,67,46,1918,36,3552,3,0,7,0,27,410,0,6154,10087,216,75,34,8,0,5910,0,0,9,0,0,0,8,68304,0,0,0
"Escherichia",0,1212,0,7505,0,3204,0,0,14672,7260,11300,60336,0,83,26,0,49,0,0,0,41400,0,0,0,293,27,4735,7217,500,0,0,0,0,569,966,0,0,0,130,117,105510,45,8,364,65,0,44235,0,0,0,0,0,14,0,14,0,1746,12,68,52,29883,25581,113,8162,12,0,262,1555,464,395,0,0,0,54191,41870,271,0,1,0,0,42,2293,0,0,1133,0,50,6,14892,4,552,16794,2027,0,32715,0,15953,47,47,0
"Gemella",973,753,17,0,1524,0,0,992,0,0,139,265,269,123,131,55,254,238,143,851,224,0,751,26502,80,8132,85,5171,71,0,0,338,43,23,6325,1210,0,26,341,40831,53,272,32821,3385,117,1309,4369,1685,1638,0,2845,38,1458,22680,2139,458,1420,90,8,1034,338,12,1653,177,0,193,302,138,122,101,5322,1158,0,0,3819,240,0,549,1221,0,92,29,0,3966,7365,1281,57,375,203,3525,0,1013,1209,533,161,2859,1,5748,3564,163
"Haemophilus",1116,90603,41,0,35,1086,99884,342,24855,0,25,636,374,25448,23654,5,10548,400,108533,246,759,0,2544,0,40,0,48530,173,38,133593,24,2144,0,9,65642,16342,0,2230,112928,10136,82,620,5297,97756,541,3263,1256,46466,3292,115,0,80,0,25775,1201,71001,23166,5,0,10008,114,16,763,0,693,29858,647,97234,5813,173,45,7220,0,0,2059,17306,8,2,22,42,42455,36993,0,49875,99326,70204,2754,23,8,2482,39521,113,0,9,37,907,4,6434,18486,14379
"Klebsiella",9,487,67628,1604,149,51816,9432,4338,28,60125,0,0,10963,96,25,0,0,0,108,0,0,28486,4,83200,86166,0,1,6,224,0,93986,236,19651,128,1966,0,54,0,0,120,154,0,3630,0,620,17,0,1872,0,13,21,31959,0,349,39,289,34796,0,206,7,18833,20739,0,0,0,7983,0,0,0,0,27735,0,41738,0,0,0,29076,632,17897,86427,0,0,2,0,23411,1087,0,75,9,0,222,6531,3301,3566,0,5533,1,0,0,0
"Moraxella",7206,92134,9,6403,84071,0,72,0,17545,0,1487,0,54732,39863,3790,25453,12791,0,1292,0,2619,0,13,104,0,5,7117,0,41,87601,0,28985,15,0,0,611,0,17073,165,103,0,0,6,48070,4893,394,0,28441,0,390,0,64209,7,1,0,24233,11428,0,146,2576,4696,0,42677,0,487,187,27070,0,11881,9781,39237,55714,4,0,0,1910,5,8434,0,3257,0,34273,1404,0,14795,0,8774,20,0,14633,33821,0,3,0,0,0,0,17433,244,11152
"Other",55875,26120,639,11757,190231,1142,1367,467,12173,36970,32685,14261,541,17461,10001,283,4149,1732,507,228,72402,5334,4677,4662,563,381,8979,64958,370,1159,15567,5983,50593,399,128335,1473,700,2288,18421,6625,1597,11872,13501,15389,6681,17614,1184,6761,18946,4125,102,6683,1742,75792,5305,7246,34270,2979,1367,2530,18201,1018,13449,70,3169,9966,1670,3468,4997,2006,8749,2084,1814,1781,15411,1597,1171,497,1002,7965,14967,2682,6863,5403,1667,2387,734,732,14323,14195,191,433,3551,226,241,2871,1161,4109,11432,1262
"Porphyromonas",1090,1086,0,0,0,0,0,0,124,0,8262,0,0,29,0,0,112,0,0,0,0,0,578,0,20,0,0,0,24,0,0,843,0,0,36906,0,0,0,1059,1089,0,0,9771,2105,46,1605,185,1528,3599,4,0,628,0,36428,16706,3151,3926,0,0,7,872,0,11,0,0,1694,0,1118,86,0,0,7646,0,0,704,0,0,0,0,3,2557,49,0,864,0,111,0,0,0,2152,0,8,0,0,0,465,2,12719,1720,1213
"Pseudomonas",153,161,429,13955,1005,108,215,321,10290,29633,116098,184,260,94,148,74,226,11,45,460,1067,62,45,80,1763,289,112,4276,142,484,95,212,3012,31584,1972,309,196,116,438,630,29,108,617,123,150,53,67,1840,31,0,13,0,222,406,480,61,7066,57,807,137,37,21,168,56,375,13,0,68,55,1473,246,84,36,2289,430,42,352,64,0,791,31,5085,675,8598,158,19,704,935,18,194,0,10,29,20396,62,80,338,75,198,59
"Serratia",0,0,0,390,18,0,0,0,2,0,0,0,0,0,1,0,62,0,0,11750,0,0,0,0,0,0,0,0,0,0,84,0,17475,7,158,0,2,0,0,0,0,7,0,0,24,0,0,0,0,0,18765,0,0,0,0,0,0,0,0,52,0,0,0,0,11765,0,69,0,0,46,0,0,2668,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,6,0,0
"Staphylococcus",162701,3313,768,6411,1232,120,6347,54279,503,2339,249,21063,29312,204,5092,68,0,49498,63,8709,4,2911,19,44845,1533,15180,17390,10266,2302,18090,1005,12690,156,4568,2499,380,34093,84,36,38696,8,36842,55364,69,683,459,30269,3188,15942,33355,2246,44,33270,38703,59777,259,35,13667,12,7,1314,34,20489,33794,31975,57,2375,1496,55,622,1107,0,11392,6223,135,226,61784,229,1682,419,1780,614,939,134,300,199,2616,7008,906,151,28,1075,6341,274,2866,4185,124,50,5576,8244
"Streptococcus",63690,90863,2854,2379,11657,19402,1501,15029,24256,11135,7265,19873,15997,31992,34248,79976,10299,13825,110,1755,65272,329,44423,92253,2854,79722,10552,15567,95073,22198,3237,76515,50,156,30010,9287,3347,7386,13225,165846,286,70185,92055,89716,33420,24133,25770,7984,17275,6647,20302,24274,29396,35043,22045,3488,22007,19064,34160,34578,25283,43433,25933,6146,1161,17990,61672,10009,9025,29977,32284,54007,55715,24364,32703,13403,410,29593,15846,98,25123,15269,483,30342,25856,32209,4260,5998,9849,30543,21097,17274,24765,9705,784,15889,26406,46644,43939,33163
"Veillonella",1749,379,0,0,0,27,0,710,0,1310,13,31,0,7,0,25,199,466,9,0,11176,214,5010,47,490,1666,4165,25,107,0,0,82,0,0,7321,0,10,9,19,9396,0,1416,2727,6420,121,2543,22,770,4861,12,1213,228,1120,7015,20738,255,5577,10639,0,414,22165,0,47,0,0,1840,0,760,1378,0,881,0,0,0,678,631,0,14,1,0,1142,29,13,2402,1114,795,57,33,120,1818,0,399,4598,2,0,17,0,872,7993,17
